native_iteration,E0_signed_phase2_flux_kg_s,E1_signed_phase2_flux_kg_s,E3_signed_phase2_flux_kg_s,E2.7_signed_phase2_flux_kg_s
5590,-24.40369171080593,-24.40369171080593,-24.58985144064938,-24.0041280754299
5600,-24.3945898166706,-24.3945898166706,-24.965825885314,-24.01432403085403
5610,-24.37163267732588,-24.37163267732588,-24.85877742863796,-23.72555615875217
5620,-24.40029610864007,-24.40029610864007,-24.38817184468187,-23.40430377073527
5630,-24.37033876463043,-24.37033876463043,-23.63183866149691,-23.00394085596878
5640,-24.37984789654396,-24.37984789654396,-22.66118063980775,-22.63498255784585
5650,-24.35207416200423,-24.35207416200423,-22.03061289855439,-22.0515312412171
5660,-24.38174430628703,-24.38174430628703,-22.07556486740186,-21.32183362899444
5670,-24.34886177982187,-24.34886177982187,-22.76087248927373,-20.35634396834114
5680,-24.372725031984,-24.372725031984,-24.07041602649686,-19.14929569291785
5690,-24.33928133960694,-24.33928133960694,-25.8617974307536,-17.80428182786802
5700,-24.34206497058776,-24.34206497058776,-28.08148373689028,-16.39933928798573
5710,-24.31825878927061,-24.31825878927061,-30.48017443174452,-15.05090097344839
5720,-24.34700780892264,-24.34700780892264,-32.70456818615363,-13.65249071401217
5730,-24.33344374164426,-24.33344374164426,-34.6756714469536,-12.33014382281734
5740,-24.36135425626107,-24.36135425626107,-36.19921392792372,-11.01076677915028
5750,-24.34470523486809,-24.34470523486809,-37.05902562318971,-9.771067611997886
5760,-24.3793471903408,-24.3793471903408,-37.04493872591658,-8.648454641565651
5770,-24.3605667832681,-24.3605667832681,-36.26982473731412,-7.656364093782564
5780,-24.39923057590328,-24.39923057590328,-34.88631784781804,-6.781285289052549
5790,-24.37537027551678,-24.37537027551678,-33.16195195187264,-6.015650396559376
5800,-24.40782619403447,-24.40782619403447,-31.37203130453682,-5.397422711551603
5810,-24.3748135823705,-24.3748135823705,-29.18878865792362,-4.892747465385731
5820,-24.3955988706977,-24.3955988706977,-27.1927029407707,-4.498776125649831
5830,-24.36601304882488,-24.36601304882488,-25.3545273618419,-4.189744051422506
5840,-24.38342504022657,-24.38342504022657,-23.6974067408283,-3.960601158765591
5850,-24.34964144472428,-24.34964144472428,-22.29791167466087,-3.789231918399423
5860,-24.37753058686915,-24.37753058686915,-21.30204025204098,-3.645490867535292
5870,-24.35464838026615,-24.35464838026615,-20.72485953173722,-3.532876587696431
5880,-24.37861785430047,-24.37861785430047,-20.52328836824701,-3.444052265778195
5890,-24.3570177247386,-24.3570177247386,-20.66963625250818,-3.370861283821672
5900,-24.37523362188141,-24.37523362188141,-20.962950144719,-3.32266394247599
5910,-24.35109274633999,-24.35109274633999,-21.3973770149674,-3.257691542640275
5920,-24.36804551084866,-24.36804551084866,-21.95265028871446,-3.214564618700216
5930,-24.35167919426056,-24.35167919426056,-22.65302870541502,-3.184721180968666
5940,-24.36856367256332,-24.36856367256332,-23.25787662151135,-3.138150925903686
5950,-24.34363790606407,-24.34363790606407,-23.7524111862043,-3.100135638401674
5960,-24.37597371743217,-24.37597371743217,-23.9558144323107,-3.078326137967992
5970,-24.34356191486955,-24.34356191486955,-23.94734837265855,-3.045275859999693
5980,-24.3741834061505,-24.3741834061505,-23.68702757553191,-3.004851768614916
5990,-24.35095981147849,-24.35095981147849,-23.29993763434948,-2.978972284663406
6000,-24.37386178298651,-24.37386178298651,-22.73037373948932,-2.954109257459966
6010,-24.35402541666744,-24.35402541666744,-22.18540162460094,-2.924767745216124
6020,-24.38197769129505,-24.38197769129505,-21.67776874828404,-2.921505278409859
6030,-24.35423630563727,-24.35423630563727,-21.29953632634907,-2.908797626485577
6040,-24.37709921808311,-24.37709921808311,-21.13118953360796,-2.91062056901166
6050,-24.3675569493658,-24.3675569493658,-21.12515663015435,-2.915507837903085
6060,-24.38640755360631,-24.38640755360631,-21.3197592382871,-2.911125056760897
6070,-24.37188552294241,-24.37188552294241,-21.62409538367483,-2.898343712161737
6080,-24.39040702221371,-24.39040702221371,-21.99353333173299,-2.87562227518116
6090,-24.36558404321963,-24.36558404321963,-22.44604799969106,-2.84328535024977
6100,-24.38704086880426,-24.38704086880426,-23.03355263667827,-2.804295328665326
6110,-24.34988721105259,-24.34988721105259,-23.62844899372043,-2.759617468377346
6120,-24.36621957553096,-24.36621957553096,-24.12250894243551,-2.719784174827538
6130,-24.38132703617585,-24.38132703617585,-24.40720392531189,-2.671494134495779
6140,-24.3639691241808,-24.3639691241808,-24.47510369277737,-2.62907735938602
6150,-24.34278304664877,-24.34278304664877,-24.34304652584601,-2.587337776417881
6160,-24.37689962469912,-24.37689962469912,-24.04277726757266,-2.558322319892772
6170,-24.35188168905712,-24.35188168905712,-23.69006026018492,-2.50871293164134
6180,-24.36590134348376,-24.36590134348376,-23.27623545448944,-2.474812999622527
6190,-24.34121584787842,-24.34121584787842,-22.85385422344247,-2.441685743953404
6200,-24.3678979085039,-24.3678979085039,-22.57867777994562,-2.397495865482733
6210,-24.35909986756012,-24.35909986756012,-22.33911345637074,-2.352982327302879
6220,-24.38912531007916,-24.38912531007916,-22.36336384333473,-2.320599679695157
6230,-24.36269809854253,-24.36269809854253,-22.51199199855494,-2.292053119175269
6240,-24.37648911213965,-24.37648911213965,-22.78923549348735,-2.270389266726319
6250,-24.36462211615468,-24.36462211615468,-23.09845742484483,-2.237024970327
6260,-24.38761000926901,-24.38761000926901,-23.50372080819304,-2.216490314279133
6270,-24.35452534930523,-24.35452534930523,-23.93102244948043,-2.189486998323386
6280,-24.37584744628371,-24.37584744628371,-24.37185535592037,-2.173290018431437
6290,-24.34924564109162,-24.34924564109162,-24.70886778855213,-2.147279053038351
6300,-24.36623169721121,-24.36623169721121,-24.93473642110973,-2.13558292231991
6310,-24.38690467208392,-24.38690467208392,-24.98336313340491,-2.126832518196234
6320,-24.37093614621568,-24.37093614621568,-24.85957801560655,-2.111065938358795
6330,-24.34802994154571,-24.34802994154571,-24.58021481258688,-2.107420125690531
6340,-24.37875933847659,-24.37875933847659,-24.26735743020452,-2.104132161103803
6350,-24.34467969676223,-24.34467969676223,-23.90511905832421,-2.087632524553578
6360,-24.36028625907313,-24.36028625907313,-23.60242737144299,-2.082797866424603
6370,-24.32527384044428,-24.32527384044428,-23.33463040022828,-2.070990981525698
6380,-24.33674077011604,-24.33674077011604,-23.13435871702413,-2.066465059614933
6390,-24.3074870566813,-24.3074870566813,-23.06960681627886,-2.057282336655932
6400,-24.33881525927919,-24.33881525927919,-23.16810954966544,-2.05770155514612
6410,-24.35256904467482,-24.35256904467482,-23.40304652164697,-2.046754414619352
6420,-24.35627470079064,-24.35627470079064,-23.70197861520459,-2.041933783539856
6430,-24.34118689139181,-24.34118689139181,-24.00443716903453,-2.02994594617582
6440,-24.36474912868258,-24.36474912868258,-24.31852748170536,-2.022627124931816
6450,-24.35381121661661,-24.35381121661661,-24.62803675005022,-2.00660677754757
6460,-24.38204249028931,-24.38204249028931,-24.93711926790805,-1.997777148888171
