guarded_log: /Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: started pid=80364 mode=quiet
run_guarded: running elapsed=5m00s idle=52s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=10m01s idle=48s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=15m01s idle=44s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=20m02s idle=41s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=25m02s idle=36s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=30m03s idle=32s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=35m04s idle=28s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=40m05s idle=25s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=45m05s idle=21s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=50m05s idle=18s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=55m06s idle=15s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=1h00m07s idle=12s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=1h05m07s idle=9s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=1h10m08s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
run_guarded: running elapsed=1h15m08s idle=1m14s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_flow_rerun_20260619/logs/full_flow_rerun.log
