case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
Case 1,1600 -25%,injection-0,1,5.910666e-06,0.005911,0.142496,face-normal,25.666961,-25.666961,0.1424,9.827e-05,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8694.0,""mass_flow_kgs"":0.1424}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":6.0,""mass_flow_kgs"":9.827e-05}]",,8694,6,0,0.999326296879,incomplete_kgs set to 0; no incomplete fate row in per-injection report
Case 1,1600 -25%,injection-1,2,2.955333e-05,0.029553,0.585331,face-normal,25.666961,-25.666961,0.5335,0.05181,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":7930.0,""mass_flow_kgs"":0.5335}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":770.0,""mass_flow_kgs"":0.05181}]",,7930,770,0,0.911450102592,incomplete_kgs set to 0; no incomplete fate row in per-injection report
Case 1,1600 -25%,injection-2,3,5.910666e-05,0.059107,0.727827,face-normal,25.666961,-25.666961,0.5468,0.1758,0.00527,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":6536.0,""mass_flow_kgs"":0.5468}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2101.0,""mass_flow_kgs"":0.1758}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":63.0,""mass_flow_kgs"":0.00527}]",6536,2101,63,0.751277432687,
Case 1,1600 -25%,injection-3,4,0.0001182133,0.118213,1.464423,face-normal,25.666961,-25.666961,0.08719,0.428,0.9492,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":518.0,""mass_flow_kgs"":0.08719}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2543.0,""mass_flow_kgs"":0.428}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5639.0,""mass_flow_kgs"":0.9492}]",518,2543,5639,0.0595388081176,
Case 1,1600 -25%,injection-4,5,0.00017732,0.17732,1.464423,face-normal,25.666961,-25.666961,0.0335,0.4474,0.9835,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":199.0,""mass_flow_kgs"":0.0335}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2658.0,""mass_flow_kgs"":0.4474}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5843.0,""mass_flow_kgs"":0.9835}]",199,2658,5843,0.022875904025,
Case 1,1600 -25%,injection-5,6,0.0003664613,0.366461,17.538,face-normal,25.666961,-25.666961,0,5.602,11.94,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2779.0,""mass_flow_kgs"":5.602}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5921.0,""mass_flow_kgs"":11.94}]",0,2779,5921,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-6,7,0.0005910666,0.591067,21.9225,face-normal,25.666961,-25.666961,0,7.008,14.91,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2781.0,""mass_flow_kgs"":7.008}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5919.0,""mass_flow_kgs"":14.91}]",0,2781,5919,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-7,8,0.0008865999,0.8866,21.9225,face-normal,25.666961,-25.666961,0,6.856,15.07,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2721.0,""mass_flow_kgs"":6.856}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5979.0,""mass_flow_kgs"":15.07}]",0,2721,5979,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-8,9,0.001714093,1.714093,21.9225,face-normal,25.666961,-25.666961,0,6.569,15.35,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2607.0,""mass_flow_kgs"":6.569}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6093.0,""mass_flow_kgs"":15.35}]",0,2607,6093,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-0,1,5.478028e-06,0.005478,0.215735,face-normal,27.503345,-27.503345,0.2154,9.919e-05,0.0001984,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8688.0,""mass_flow_kgs"":0.2154}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4.0,""mass_flow_kgs"":9.919e-05}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":8.0,""mass_flow_kgs"":0.0001984}]",8688,4,8,0.99844716898,
