passed,case,condition,scope,item,field,expected,actual,notes
PASS,Case 1,1600 -25%,materials,inert_particle,water-liquid-dpm,present,present,
PASS,Case 1,1600 -25%,boundary_conditions,inlet,phase-1_gas_mass_flow_kgs,60.52,60.52,
PASS,Case 1,1600 -25%,boundary_conditions,inlet,phase-2_liquid_mass_flow_kgs,87.69,87.69,
PASS,Case 1,1600 -25%,dpm_injection,all,expected_injection_count,9,9,"available=['injection-0', 'injection-1', 'injection-2', 'injection-3', 'injection-4', 'injection-5', 'injection-6', 'injection-7', 'injection-8']"
PASS,Case 1,1600 -25%,dpm_injection,injection-0,particle_type,inert,inert,
PASS,Case 1,1600 -25%,dpm_injection,injection-0,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 1,1600 -25%,dpm_injection,injection-0,injection_type,surface,surface,
PASS,Case 1,1600 -25%,dpm_injection,injection-0,surface,"[""inlet""]","[""inlet""]",
PASS,Case 1,1600 -25%,dpm_injection,injection-0,mass_flow_kgs,0.142496,0.142496,
PASS,Case 1,1600 -25%,dpm_injection,injection-0,diameter_m,5.910666e-06,5.910666e-06,
PASS,Case 1,1600 -25%,dpm_injection,injection-0,velocity_mode,face-normal,face-normal,
PASS,Case 1,1600 -25%,dpm_injection,injection-0,velocity_magnitude_ms,25.666961,25.666961,
PASS,Case 1,1600 -25%,dpm_injection,injection-1,particle_type,inert,inert,
PASS,Case 1,1600 -25%,dpm_injection,injection-1,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 1,1600 -25%,dpm_injection,injection-1,injection_type,surface,surface,
PASS,Case 1,1600 -25%,dpm_injection,injection-1,surface,"[""inlet""]","[""inlet""]",
PASS,Case 1,1600 -25%,dpm_injection,injection-1,mass_flow_kgs,0.585331,0.585331,
PASS,Case 1,1600 -25%,dpm_injection,injection-1,diameter_m,2.955333e-05,2.955333e-05,
PASS,Case 1,1600 -25%,dpm_injection,injection-1,velocity_mode,face-normal,face-normal,
PASS,Case 1,1600 -25%,dpm_injection,injection-1,velocity_magnitude_ms,25.666961,25.666961,
PASS,Case 1,1600 -25%,dpm_injection,injection-2,particle_type,inert,inert,
PASS,Case 1,1600 -25%,dpm_injection,injection-2,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 1,1600 -25%,dpm_injection,injection-2,injection_type,surface,surface,
PASS,Case 1,1600 -25%,dpm_injection,injection-2,surface,"[""inlet""]","[""inlet""]",
PASS,Case 1,1600 -25%,dpm_injection,injection-2,mass_flow_kgs,0.727827,0.727827,
PASS,Case 1,1600 -25%,dpm_injection,injection-2,diameter_m,5.910666e-05,5.910666e-05,
PASS,Case 1,1600 -25%,dpm_injection,injection-2,velocity_mode,face-normal,face-normal,
PASS,Case 1,1600 -25%,dpm_injection,injection-2,velocity_magnitude_ms,25.666961,25.666961,
PASS,Case 1,1600 -25%,dpm_injection,injection-3,particle_type,inert,inert,
PASS,Case 1,1600 -25%,dpm_injection,injection-3,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 1,1600 -25%,dpm_injection,injection-3,injection_type,surface,surface,
PASS,Case 1,1600 -25%,dpm_injection,injection-3,surface,"[""inlet""]","[""inlet""]",
PASS,Case 1,1600 -25%,dpm_injection,injection-3,mass_flow_kgs,1.464423,1.464423,
PASS,Case 1,1600 -25%,dpm_injection,injection-3,diameter_m,0.0001182133,0.0001182133,
PASS,Case 1,1600 -25%,dpm_injection,injection-3,velocity_mode,face-normal,face-normal,
PASS,Case 1,1600 -25%,dpm_injection,injection-3,velocity_magnitude_ms,25.666961,25.666961,
PASS,Case 1,1600 -25%,dpm_injection,injection-4,particle_type,inert,inert,
PASS,Case 1,1600 -25%,dpm_injection,injection-4,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 1,1600 -25%,dpm_injection,injection-4,injection_type,surface,surface,
PASS,Case 1,1600 -25%,dpm_injection,injection-4,surface,"[""inlet""]","[""inlet""]",
PASS,Case 1,1600 -25%,dpm_injection,injection-4,mass_flow_kgs,1.464423,1.464423,
PASS,Case 1,1600 -25%,dpm_injection,injection-4,diameter_m,0.00017732,0.00017732,
PASS,Case 1,1600 -25%,dpm_injection,injection-4,velocity_mode,face-normal,face-normal,
PASS,Case 1,1600 -25%,dpm_injection,injection-4,velocity_magnitude_ms,25.666961,25.666961,
PASS,Case 1,1600 -25%,dpm_injection,injection-5,particle_type,inert,inert,
PASS,Case 1,1600 -25%,dpm_injection,injection-5,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 1,1600 -25%,dpm_injection,injection-5,injection_type,surface,surface,
PASS,Case 1,1600 -25%,dpm_injection,injection-5,surface,"[""inlet""]","[""inlet""]",
PASS,Case 1,1600 -25%,dpm_injection,injection-5,mass_flow_kgs,17.538,17.538,
PASS,Case 1,1600 -25%,dpm_injection,injection-5,diameter_m,0.0003664613,0.0003664613,
PASS,Case 1,1600 -25%,dpm_injection,injection-5,velocity_mode,face-normal,face-normal,
PASS,Case 1,1600 -25%,dpm_injection,injection-5,velocity_magnitude_ms,25.666961,25.666961,
PASS,Case 1,1600 -25%,dpm_injection,injection-6,particle_type,inert,inert,
PASS,Case 1,1600 -25%,dpm_injection,injection-6,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 1,1600 -25%,dpm_injection,injection-6,injection_type,surface,surface,
PASS,Case 1,1600 -25%,dpm_injection,injection-6,surface,"[""inlet""]","[""inlet""]",
PASS,Case 1,1600 -25%,dpm_injection,injection-6,mass_flow_kgs,21.9225,21.9225,
