variant,case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
face_normal,Case 2,1440,injection-0,1,5.478028e-06,0.005478,0.215735,face-normal,27.503345,-27.503345,0.2156,9.919e-05,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8696.0,""mass_flow_kgs"":0.2156}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4.0,""mass_flow_kgs"":9.919e-05}]",,8696,4,0,0.999374232276,incomplete_kgs set to 0; no incomplete fate row in per-injection report
face_normal,Case 2,1440,injection-1,2,2.739014e-05,0.02739,0.886173,face-normal,27.503345,-27.503345,0.8787,0.007232,0.0002037,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8627.0,""mass_flow_kgs"":0.8787}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":71.0,""mass_flow_kgs"":0.007232}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":2.0,""mass_flow_kgs"":0.0002037}]",8627,71,2,0.991567109357,
face_normal,Case 2,1440,injection-2,3,5.478028e-05,0.05478,1.101908,face-normal,27.503345,-27.503345,1.067,0.01925,0.01533,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8427.0,""mass_flow_kgs"":1.067}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":152.0,""mass_flow_kgs"":0.01925}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":121.0,""mass_flow_kgs"":0.01533}]",8427,152,121,0.968320404244,
face_normal,Case 2,1440,injection-3,4,0.0001095606,0.109561,2.217092,face-normal,27.503345,-27.503345,2.188,0.02039,0.009174,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8584.0,""mass_flow_kgs"":2.188}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":80.0,""mass_flow_kgs"":0.02039}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":36.0,""mass_flow_kgs"":0.009174}]",8584,80,36,0.98687830726,
face_normal,Case 2,1440,injection-4,5,0.0001643408,0.164341,2.217092,face-normal,27.503345,-27.503345,2.205,0.007135,0.004842,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8653.0,""mass_flow_kgs"":2.205}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":28.0,""mass_flow_kgs"":0.007135}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":19.0,""mass_flow_kgs"":0.004842}]",8653,28,19,0.994546008916,
face_normal,Case 2,1440,injection-5,6,0.0003396377,0.339638,26.552,face-normal,27.503345,-27.503345,22.94,3.61,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":7517.0,""mass_flow_kgs"":22.94}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":1183.0,""mass_flow_kgs"":3.61}]",,7517,1183,0,0.863965049714,incomplete_kgs set to 0; no incomplete fate row in per-injection report
face_normal,Case 2,1440,injection-6,7,0.0005478028,0.547803,33.19,face-normal,27.503345,-27.503345,26.3,6.894,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":6893.0,""mass_flow_kgs"":26.3}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":1807.0,""mass_flow_kgs"":6.894}]",,6893,1807,0,0.792407351612,incomplete_kgs set to 0; no incomplete fate row in per-injection report
face_normal,Case 2,1440,injection-7,8,0.0008217042,0.821704,33.19,face-normal,27.503345,-27.503345,23.66,9.53,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":6202.0,""mass_flow_kgs"":23.66}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2498.0,""mass_flow_kgs"":9.53}]",,6202,2498,0,0.71286532088,incomplete_kgs set to 0; no incomplete fate row in per-injection report
face_normal,Case 2,1440,injection-8,9,0.001588628,1.588628,33.19,face-normal,27.503345,-27.503345,11.39,21.8,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":2986.0,""mass_flow_kgs"":11.39}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":5714.0,""mass_flow_kgs"":21.8}]",,2986,5714,0,0.343175655318,incomplete_kgs set to 0; no incomplete fate row in per-injection report
z_negative,Case 2,1440,injection-0,1,5.478028e-06,0.005478,0.215735,components,27.503345,-27.503345,0.2156,9.919e-05,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8696.0,""mass_flow_kgs"":0.2156}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4.0,""mass_flow_kgs"":9.919e-05}]",,8696,4,0,0.999374232276,incomplete_kgs set to 0; no incomplete fate row in per-injection report
z_negative,Case 2,1440,injection-1,2,2.739014e-05,0.02739,0.886173,components,27.503345,-27.503345,0.8791,0.007028,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8631.0,""mass_flow_kgs"":0.8791}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":69.0,""mass_flow_kgs"":0.007028}]",,8631,69,0,0.992018488489,incomplete_kgs set to 0; no incomplete fate row in per-injection report
z_negative,Case 2,1440,injection-2,3,5.478028e-05,0.05478,1.101908,components,27.503345,-27.503345,1.069,0.01697,0.01621,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8438.0,""mass_flow_kgs"":1.069}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":134.0,""mass_flow_kgs"":0.01697}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":128.0,""mass_flow_kgs"":0.01621}]",8438,134,128,0.970135437804,
z_negative,Case 2,1440,injection-3,4,0.0001095606,0.109561,2.217092,components,27.503345,-27.503345,2.19,0.0186,0.008155,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8595.0,""mass_flow_kgs"":2.19}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":73.0,""mass_flow_kgs"":0.0186}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":32.0,""mass_flow_kgs"":0.008155}]",8595,73,32,0.987780389808,
