guarded_log: /Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: started pid=35429 mode=quiet
run_guarded: running elapsed=5m00s idle=36s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=10m01s idle=33s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=15m01s idle=30s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=20m01s idle=28s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=25m02s idle=24s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=30m03s idle=21s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=35m03s idle=18s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=40m03s idle=15s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=45m03s idle=12s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=50m04s idle=10s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=55m04s idle=4s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=1h00m04s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=1h05m05s idle=1m14s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=1h10m05s idle=1m11s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=1h15m05s idle=1m09s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=1h20m06s idle=1m07s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=1h25m07s idle=1m05s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=1h30m07s idle=1m03s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=1h35m08s idle=1m01s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
run_guarded: running elapsed=1h40m08s idle=59s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_single_verify_20260618/logs/full_sweep_single_verify.log
