case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
Case 1,1600 -25%,injection-0,1,5.910666e-06,0.005911,0.142496,face-normal,25.666961,-25.666961,0.1367,0.005651,0.0001474,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8346.0,""mass_flow_kgs"":0.1367}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":345.0,""mass_flow_kgs"":0.005651}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":9.0,""mass_flow_kgs"":0.0001474}]",8346,345,9,0.95932517404,
Case 1,1600 -25%,injection-1,2,2.955333e-05,0.029553,0.585331,face-normal,25.666961,-25.666961,0,0.2849,0.3004,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4235.0,""mass_flow_kgs"":0.2849}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4465.0,""mass_flow_kgs"":0.3004}]",0,4235,4465,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-2,3,5.910666e-05,0.059107,0.727827,face-normal,25.666961,-25.666961,0,0.3637,0.3641,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4348.0,""mass_flow_kgs"":0.3637}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4352.0,""mass_flow_kgs"":0.3641}]",0,4348,4352,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-3,4,0.0001182133,0.118213,1.464423,face-normal,25.666961,-25.666961,0,0.7581,0.7063,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4504.0,""mass_flow_kgs"":0.7581}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4196.0,""mass_flow_kgs"":0.7063}]",0,4504,4196,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-4,5,0.00017732,0.17732,1.464423,face-normal,25.666961,-25.666961,0,0.7745,0.69,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4601.0,""mass_flow_kgs"":0.7745}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4099.0,""mass_flow_kgs"":0.69}]",0,4601,4099,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-5,6,0.0003664613,0.366461,17.538,face-normal,25.666961,-25.666961,0,9.704,7.834,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4814.0,""mass_flow_kgs"":9.704}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":3886.0,""mass_flow_kgs"":7.834}]",0,4814,3886,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-6,7,0.0005910666,0.591067,21.9225,face-normal,25.666961,-25.666961,0,12.56,9.364,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4984.0,""mass_flow_kgs"":12.56}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":3716.0,""mass_flow_kgs"":9.364}]",0,4984,3716,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-7,8,0.0008865999,0.8866,21.9225,face-normal,25.666961,-25.666961,0,13.03,8.895,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":5170.0,""mass_flow_kgs"":13.03}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":3530.0,""mass_flow_kgs"":8.895}]",0,5170,3530,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-8,9,0.001714093,1.714093,21.9225,face-normal,25.666961,-25.666961,0,14.01,7.91,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":5561.0,""mass_flow_kgs"":14.01}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":3139.0,""mass_flow_kgs"":7.91}]",0,5561,3139,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-0,1,5.478028e-06,0.005478,0.215735,face-normal,27.503345,-27.503345,0.2103,0.003868,0.001537,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8482.0,""mass_flow_kgs"":0.2103}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":156.0,""mass_flow_kgs"":0.003868}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":62.0,""mass_flow_kgs"":0.001537}]",8482,156,62,0.974807054952,
