guarded_log: /Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: started pid=20473 mode=quiet
run_guarded: running elapsed=5m00s idle=5s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=10m00s idle=7s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=15m01s idle=7s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=20m01s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=25m02s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=30m02s idle=5s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=35m03s idle=6s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=40m04s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=45m04s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=50m05s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=55m06s idle=5s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=1h00m07s idle=7s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=1h05m07s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=1h10m08s idle=5s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=1h15m09s idle=4s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=1h20m09s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=1h25m09s idle=6s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=1h30m09s idle=7s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=1h35m09s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=1h40m10s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=1h45m11s idle=4m07s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=1h50m11s idle=9m07s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=1h55m12s idle=14m08s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=2h00m12s idle=19m08s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=2h05m13s idle=24m09s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=2h10m14s idle=29m10s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: running elapsed=2h15m14s idle=34m10s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/enthalpy_sweep_verified_20260721_v2/logs/case5_resume_750_to_1500_15proc.log
run_guarded: exited code=0 elapsed=2h18m24s
