passed,case,condition,scope,item,field,expected,actual,notes
PASS,Case 4,1600,materials,inert_particle,water-liquid-dpm,present,present,
PASS,Case 4,1600,boundary_conditions,inlet,phase-1_gas_mass_flow_kgs,80.69,80.69,
PASS,Case 4,1600,boundary_conditions,inlet,phase-2_liquid_mass_flow_kgs,116.92,116.92,
PASS,Case 4,1600,dpm_injection,all,expected_injection_count,9,9,"available=['injection-0', 'injection-1', 'injection-2', 'injection-3', 'injection-4', 'injection-5', 'injection-6', 'injection-7', 'injection-8']"
PASS,Case 4,1600,dpm_injection,injection-0,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-0,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-0,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-0,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-0,mass_flow_kgs,0.189995,0.189995,
PASS,Case 4,1600,dpm_injection,injection-0,diameter_m,4.307482e-06,4.307482e-06,
PASS,Case 4,1600,dpm_injection,injection-0,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-0,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-1,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-1,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-1,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-1,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-1,mass_flow_kgs,0.780441,0.780441,
PASS,Case 4,1600,dpm_injection,injection-1,diameter_m,2.153741e-05,2.153741e-05,
PASS,Case 4,1600,dpm_injection,injection-1,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-1,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-2,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-2,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-2,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-2,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-2,mass_flow_kgs,0.970436,0.970436,
PASS,Case 4,1600,dpm_injection,injection-2,diameter_m,4.307482e-05,4.307482e-05,
PASS,Case 4,1600,dpm_injection,injection-2,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-2,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-3,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-3,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-3,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-3,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-3,mass_flow_kgs,1.952564,1.952564,
PASS,Case 4,1600,dpm_injection,injection-3,diameter_m,8.614965e-05,8.614965e-05,
PASS,Case 4,1600,dpm_injection,injection-3,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-3,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-4,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-4,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-4,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-4,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-4,mass_flow_kgs,1.952564,1.952564,
PASS,Case 4,1600,dpm_injection,injection-4,diameter_m,0.0001292245,0.0001292245,
PASS,Case 4,1600,dpm_injection,injection-4,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-4,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-5,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-5,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-5,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-5,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-5,mass_flow_kgs,23.384,23.384,
PASS,Case 4,1600,dpm_injection,injection-5,diameter_m,0.0002670639,0.0002670639,
PASS,Case 4,1600,dpm_injection,injection-5,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-5,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-6,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-6,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-6,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-6,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-6,mass_flow_kgs,29.23,29.23,
PASS,Case 4,1600,dpm_injection,injection-6,diameter_m,0.0004307482,0.0004307482,
PASS,Case 4,1600,dpm_injection,injection-6,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-6,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-7,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-7,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-7,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-7,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-7,mass_flow_kgs,29.23,29.23,
PASS,Case 4,1600,dpm_injection,injection-7,diameter_m,0.0006461224,0.0006461224,
PASS,Case 4,1600,dpm_injection,injection-7,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-7,velocity_magnitude_ms,34.221202,34.221202,
PASS,Case 4,1600,dpm_injection,injection-8,particle_type,inert,inert,
PASS,Case 4,1600,dpm_injection,injection-8,material,water-liquid-dpm,water-liquid-dpm,
PASS,Case 4,1600,dpm_injection,injection-8,injection_type,surface,surface,
PASS,Case 4,1600,dpm_injection,injection-8,surface,"[""inlet""]","[""inlet""]",
PASS,Case 4,1600,dpm_injection,injection-8,mass_flow_kgs,29.23,29.23,
PASS,Case 4,1600,dpm_injection,injection-8,diameter_m,0.00124917,0.00124917,
PASS,Case 4,1600,dpm_injection,injection-8,velocity_mode,face-normal,face-normal,
PASS,Case 4,1600,dpm_injection,injection-8,velocity_magnitude_ms,34.221202,34.221202,
