case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
Case 1,1600 -25%,injection-5-micron,1,7.713552e-06,0.007714,0.142496,face-normal,20.149634,-20.149634,0.01941,0.02329,0.09979,outlet,bottom,,30048,50059,,"[{""fate"":""escaped"",""zone_name"":""outlet"",""zone_id"":""30048"",""count"":1489.0,""mass_flow_kgs"":0.01941}]","[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":1787.0,""mass_flow_kgs"":0.02329}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":7656.0,""mass_flow_kgs"":0.09979}]",1489,1787,7656,0.136214349876,
Case 1,1600 -25%,injection-28-micron,2,3.856776e-05,0.038568,0.585331,face-normal,20.149634,-20.149634,0,0.2752,0.3101,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":5140.0,""mass_flow_kgs"":0.2752}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5792.0,""mass_flow_kgs"":0.3101}]",0,5140,5792,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-56-micron,3,7.713552e-05,0.077136,0.727827,face-normal,20.149634,-20.149634,0,0.3652,0.3626,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":5485.0,""mass_flow_kgs"":0.3652}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5447.0,""mass_flow_kgs"":0.3626}]",0,5485,5447,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-112-micron,4,0.000154271,0.154271,1.464423,face-normal,20.149634,-20.149634,0,0.9187,0.5457,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":6858.0,""mass_flow_kgs"":0.9187}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4074.0,""mass_flow_kgs"":0.5457}]",0,6858,4074,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-168-micron,5,0.0002314066,0.231407,1.464423,face-normal,20.149634,-20.149634,0,1.192,0.2722,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":8900.0,""mass_flow_kgs"":1.192}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":2032.0,""mass_flow_kgs"":0.2722}]",0,8900,2032,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-348-micron,6,0.0004782402,0.47824,17.538,face-normal,20.149634,-20.149634,0,17.49,0.04813,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10902.0,""mass_flow_kgs"":17.49}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":30.0,""mass_flow_kgs"":0.04813}]",0,10902,30,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-562-micron,7,0.0007713552,0.771355,21.9225,face-normal,20.149634,-20.149634,0,21.78,0.1424,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10861.0,""mass_flow_kgs"":21.78}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":71.0,""mass_flow_kgs"":0.1424}]",0,10861,71,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-844-micron,8,0.001157033,1.157033,21.9225,face-normal,20.149634,-20.149634,0,21.78,0.1444,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10860.0,""mass_flow_kgs"":21.78}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":72.0,""mass_flow_kgs"":0.1444}]",0,10860,72,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 1,1600 -25%,injection-1631-micron,9,0.00223693,2.23693,21.9225,face-normal,20.149634,-20.149634,0,21.78,0.1424,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10861.0,""mass_flow_kgs"":21.78}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":71.0,""mass_flow_kgs"":0.1424}]",0,10861,71,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-5-micron,1,7.14895e-06,0.007149,0.215735,face-normal,21.591272,-21.591272,0.02088,0.03755,0.1573,outlet,bottom,,30048,50059,,"[{""fate"":""escaped"",""zone_name"":""outlet"",""zone_id"":""30048"",""count"":1058.0,""mass_flow_kgs"":0.02088}]","[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":1903.0,""mass_flow_kgs"":0.03755}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":7971.0,""mass_flow_kgs"":0.1573}]",1058,1903,7971,0.0967854080237,
Case 2,1440,injection-28-micron,2,3.574475e-05,0.035745,0.886173,face-normal,21.591272,-21.591272,0,0.416,0.4702,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":5132.0,""mass_flow_kgs"":0.416}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5800.0,""mass_flow_kgs"":0.4702}]",0,5132,5800,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-56-micron,3,7.14895e-05,0.071489,1.101908,face-normal,21.591272,-21.591272,0,0.5454,0.5565,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":5411.0,""mass_flow_kgs"":0.5454}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5521.0,""mass_flow_kgs"":0.5565}]",0,5411,5521,0,escaped_kgs set to 0; no escaped fate row in per-injection report
