guarded_log: /Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: started pid=94273 mode=quiet
run_guarded: running elapsed=5m00s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=10m01s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=15m02s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=20m02s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=25m02s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=30m03s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=35m03s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=40m03s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=45m04s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=50m04s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=55m04s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=1h00m05s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=1h05m05s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=1h10m05s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=1h15m06s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=1h20m06s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=1h25m07s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=1h30m07s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=1h35m08s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=1h40m09s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=1h45m09s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=1h50m09s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=1h55m10s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=2h00m10s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=2h05m11s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=2h10m12s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=2h15m12s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=2h20m13s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=2h25m13s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=2h30m14s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=2h35m14s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=2h40m15s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=2h45m16s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=2h50m17s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=2h55m18s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=3h00m18s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=3h05m19s idle=55s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=3h10m19s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=3h15m20s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
