carrier_outlet_quality_percent_trend_only,domain_volume_avg_velocity_ms,domain_volume_avg_vorticity_s-1,inlet_mass_weighted_pressure_pa,iteration,liquid_imbalance_percent,liquid_liquidinlet_kgs,liquid_net_kgs,liquid_steaminlet_kgs,liquid_steamoutlet_kgs,mixture_imbalance_percent,mixture_liquidinlet_kgs,mixture_net_kgs,mixture_steaminlet_kgs,mixture_steamoutlet_kgs,outlet_area_weighted_velocity_ms,outlet_mass_weighted_pressure_pa,pressure_drop_pa,vapor_imbalance_percent,vapor_liquidinlet_kgs,vapor_net_kgs,vapor_steaminlet_kgs,vapor_steamoutlet_kgs
100.0,8.8419967,28.847283,1126044.9,250.0,100.0,116.92,116.92,-0.0,-0.0,58.77788067405495,116.92,116.15097,80.69,-81.459025,32.106564,1119990.7,6054.199999999953,0.9530611228157144,-0.0,-0.76902502,80.69,-81.459025
100.0,11.816712,50.123059,1126041.4,500.0,100.0,116.92,116.92,-0.0,-2.5574921e-238,58.76853398107382,116.92,116.1325,80.69,-81.477503,32.201549,1119991.7,6049.699999999953,0.9759611476019333,-0.0,-0.78750305,80.69,-81.477503
100.0,14.29215,62.495328,1127893.1,750.0,100.0,116.92,116.92,-0.0,-7.0762116e-187,58.785997672182575,116.92,116.16701,80.69,-81.442987,34.408326,1119988.8,7904.300000000047,0.9331855000619655,-0.0,-0.75298738,80.69,-81.442987
100.0,16.173104,67.035665,1131449.7,1000.0,100.0,116.92,116.92,-0.0,-8.250698e-109,58.79730276807854,116.92,116.18935,80.69,-81.420654,37.191526,1119979.0,11470.699999999953,0.9055076589416285,-0.0,-0.73065413,80.69,-81.420654
100.0,17.847561,69.366912,1134397.8,1250.0,100.0,116.92,116.92,-0.0,-1.2187959e-63,58.77633216942462,116.92,116.14791,80.69,-81.462092,39.855255,1119966.4,14431.40000000014,0.9568622010162351,-0.0,-0.77209211,80.69,-81.462092
100.0,19.00682,71.763195,1135133.8,1500.0,100.0,116.92,116.92,-0.0,-9.3770853e-46,58.774925358028426,116.92,116.14513,80.69,-81.464869,41.521125,1119961.9,15171.90000000014,0.9603031230635767,-0.0,-0.77486859,80.69,-81.464869
100.0,19.81191,71.788114,1136692.8,1750.0,100.0,116.92,116.92,-0.0,-1.2665936e-28,58.791984211325335,116.92,116.17884,80.69,-81.431165,41.213351,1119959.0,16733.800000000047,0.9185338579749659,-0.0,-0.74116497,80.69,-81.431165
100.0,20.832825,73.296049,1140374.9,2000.0,100.0,116.92,116.92,-0.0,-4.2321238e-17,58.78452001416932,116.92,116.16409,80.69,-81.445911,41.67151,1119955.3,20419.59999999986,0.9368088982525715,-0.0,-0.7559111,80.69,-81.445911
99.99999999961341,22.14463,79.813579,1142199.3,2250,100.0,116.92,116.92,-0.0,-3.1490066e-10,58.78086635291736,116.92,116.15687,80.69,-81.453134,42.146392,1119950.6,22248.699999999953,0.9457602924773826,-0.0,-0.76313398,80.69,-81.453134
99.99999995781032,23.33658,85.699089,1143058.7,2500,100.0,116.92,116.92,-0.0,-3.4368714e-08,58.776195536663124,116.92,116.14764,80.69,-81.462356,42.351665,1119949.2,23109.5,0.9571897261122816,-0.0,-0.77235639,80.69,-81.462356
99.99999732782011,24.489074,86.816855,1143039.7,2750,100.0,116.92,116.92,-0.0,-2.176762e-06,58.777308840645716,116.92,116.14984,80.69,-81.46016,42.281727,1119950.3,23089.399999999907,0.9544644317759325,-0.0,-0.77015735,80.69,-81.460157
99.99988734294179,25.57102,87.616472,1143656.9,3000,99.99992302429011,116.92,116.91991,-0.0,-9.1755305e-05,58.78418602297455,116.92,116.16343,80.69,-81.446565,42.551732,1119947.7,23709.199999999953,0.9375059239063079,-0.0,-0.75647353,80.69,-81.446474
