carrier_outlet_quality_percent_trend_only,domain_volume_avg_velocity_ms,domain_volume_avg_vorticity_s-1,inlet_mass_weighted_pressure_pa,iteration,liquid_imbalance_percent,liquid_liquidinlet_kgs,liquid_net_kgs,liquid_steaminlet_kgs,liquid_steamoutlet_kgs,mixture_imbalance_percent,mixture_liquidinlet_kgs,mixture_net_kgs,mixture_steaminlet_kgs,mixture_steamoutlet_kgs,outlet_area_weighted_velocity_ms,outlet_mass_weighted_pressure_pa,pressure_drop_pa,vapor_imbalance_percent,vapor_liquidinlet_kgs,vapor_net_kgs,vapor_steaminlet_kgs,vapor_steamoutlet_kgs
100.0,10.724296,40.586459,1126021.9,250,100.0,116.92,116.92,-0.0,-2.5833665e-177,58.773270583472495,116.92,116.14186,80.69,-81.468139,32.85173,1119989.3,6032.59999999986,0.9643567604411948,-0.0,-0.77813947,80.69,-81.468139
100.0,15.227409,59.804858,1129113.1,500,100.0,116.92,116.92,-0.0,-1.0454656e-111,58.78458580031375,116.92,116.16422,80.69,-81.44578,36.677934,1119983.6,9129.5,0.9366466600570084,-0.0,-0.75578019,80.69,-81.44578
100.0,18.381411,67.493515,1134445.2,750,100.0,116.92,116.92,-0.0,-7.5267665e-47,58.78315368655432,116.92,116.16139,80.69,-81.448612,41.805962,1119955.9,14489.300000000047,0.9401555954889081,-0.0,-0.75861155,80.69,-81.448612
100.0,20.397757,68.985853,1137074.6,1000,100.0,116.92,116.92,-0.0,-4.268807e-31,58.791068265776026,116.92,116.17703,80.69,-81.432966,43.577499,1119950.9,17123.700000000186,0.9207652745073739,-0.0,-0.7429655,80.69,-81.432966
100.0,22.251285,68.93959,1140367.2,1250,100.0,116.92,116.92,-0.0,-2.2777916e-18,58.77996052831334,116.92,116.15508,80.69,-81.454923,43.764998,1119937.0,20430.199999999953,0.947977692403024,-0.0,-0.7649232,80.69,-81.454923
99.99999999999974,24.538949,73.652881,1141974.7,1500,100.0,116.92,116.92,-0.0,-2.1002014e-13,58.7607003694145,116.92,116.11702,80.69,-81.492976,43.086102,1119942.1,22032.59999999986,0.9951364853141653,-0.0,-0.80297563,80.69,-81.492976
99.99999999990122,26.548855,77.909043,1142734.7,1750,100.0,116.92,116.92,-0.0,-8.0452125e-11,58.791209959010175,116.92,116.17731,80.69,-81.432692,42.932979,1119944.2,22790.5,0.9204257280951792,-0.0,-0.74269152,80.69,-81.432692
99.99999989921048,28.254596,77.902139,1143857.1,2000,100.0,116.92,116.92,-0.0,-8.2108082e-08,58.7749101766105,116.92,116.1451,80.69,-81.464902,44.701544,1119943.8,23913.300000000047,0.9603440698971372,-0.0,-0.77490163,80.69,-81.464902
99.99980648582748,29.632098,77.045038,1145180.0,2250,99.99986315429352,116.92,116.91984,-0.0,-0.00015763689,58.77732402206366,116.92,116.14987,80.69,-81.460126,45.719213,1119937.1,25242.899999999907,0.9542303879043251,-0.0,-0.7699685,80.69,-81.459969
99.9997021776819,30.75234,78.051329,1147389.8,2500,99.99979473144029,116.92,116.91976,-0.0,-0.00024266409,58.7675320074895,116.92,116.13052,80.69,-81.479485,47.466711,1119920.8,27469.0,0.9781164580493246,-0.0,-0.78924217,80.69,-81.479242
99.99849576916878,31.595799,78.209313,1148388.3,2750,99.99894799863154,116.92,116.91877,-0.0,-0.0012257548,58.76365062496836,116.92,116.12285,80.69,-81.487149,47.755004,1119922.5,28465.800000000047,0.9863952782253068,-0.0,-0.79592235,80.69,-81.485922
99.98464782941245,32.12963,77.798915,1148928.7,3000,99.98930037632569,116.92,116.90749,-0.0,-0.012505558,58.77842720510096,116.92,116.15205,80.69,-81.457948,47.780579,1119928.2,29000.5,0.9361871607386293,-0.0,-0.75540942,80.69,-81.445409
