case,enthalpy_kJkg,vt_ms,z_velocity_ms,inj,x_xmed,diameter_mm,diameter_m,mass_flow_kgs
Case 1,1600 -25%,25.666961,-25.666961,1,0.01,0.005911,5.910666e-06,0.142496
Case 1,1600 -25%,25.666961,-25.666961,2,0.05,0.029553,2.955333e-05,0.585331
Case 1,1600 -25%,25.666961,-25.666961,3,0.1,0.059107,5.910666e-05,0.727827
Case 1,1600 -25%,25.666961,-25.666961,4,0.2,0.118213,1.182133e-04,1.464423
Case 1,1600 -25%,25.666961,-25.666961,5,0.3,0.17732,1.773200e-04,1.464423
Case 1,1600 -25%,25.666961,-25.666961,6,0.62,0.366461,3.664613e-04,17.538
Case 1,1600 -25%,25.666961,-25.666961,7,1.0,0.591067,5.910666e-04,21.9225
Case 1,1600 -25%,25.666961,-25.666961,8,1.5,0.8866,8.865999e-04,21.9225
Case 1,1600 -25%,25.666961,-25.666961,9,2.9,1.714093,1.714093e-03,21.9225
Case 2,1440,27.503345,-27.503345,1,0.01,0.005478,5.478028e-06,0.215735
Case 2,1440,27.503345,-27.503345,2,0.05,0.02739,2.739014e-05,0.886173
Case 2,1440,27.503345,-27.503345,3,0.1,0.05478,5.478028e-05,1.101908
Case 2,1440,27.503345,-27.503345,4,0.2,0.109561,1.095606e-04,2.217092
Case 2,1440,27.503345,-27.503345,5,0.3,0.164341,1.643408e-04,2.217092
Case 2,1440,27.503345,-27.503345,6,0.62,0.339638,3.396377e-04,26.552
Case 2,1440,27.503345,-27.503345,7,1.0,0.547803,5.478028e-04,33.19
Case 2,1440,27.503345,-27.503345,8,1.5,0.821704,8.217042e-04,33.19
Case 2,1440,27.503345,-27.503345,9,2.9,1.588628,1.588628e-03,33.19
Case 3,1520,30.862273,-30.862273,1,0.01,0.004826,4.825892e-06,0.202865
Case 3,1520,30.862273,-30.862273,2,0.05,0.024129,2.412946e-05,0.833307
Case 3,1520,30.862273,-30.862273,3,0.1,0.048259,4.825892e-05,1.036172
Case 3,1520,30.862273,-30.862273,4,0.2,0.096518,9.651784e-05,2.084828
