case,enthalpy_kJkg,vt_ms,z_velocity_ms,inj,x_xmed,diameter_mm,diameter_m,mass_flow_kgs
Case 1,1600 -25%,20.149634,-20.149634,1,0.01,0.007714,7.713552e-06,0.142496
Case 1,1600 -25%,20.149634,-20.149634,2,0.05,0.038568,3.856776e-05,0.585331
Case 1,1600 -25%,20.149634,-20.149634,3,0.1,0.077136,7.713552e-05,0.727827
Case 1,1600 -25%,20.149634,-20.149634,4,0.2,0.154271,1.542710e-04,1.464423
Case 1,1600 -25%,20.149634,-20.149634,5,0.3,0.231407,2.314066e-04,1.464423
Case 1,1600 -25%,20.149634,-20.149634,6,0.62,0.47824,4.782402e-04,17.538
Case 1,1600 -25%,20.149634,-20.149634,7,1.0,0.771355,7.713552e-04,21.9225
Case 1,1600 -25%,20.149634,-20.149634,8,1.5,1.157033,1.157033e-03,21.9225
Case 1,1600 -25%,20.149634,-20.149634,9,2.9,2.23693,2.236930e-03,21.9225
Case 2,1440,21.591272,-21.591272,1,0.01,0.007149,7.148950e-06,0.215735
Case 2,1440,21.591272,-21.591272,2,0.05,0.035745,3.574475e-05,0.886173
Case 2,1440,21.591272,-21.591272,3,0.1,0.071489,7.148950e-05,1.101908
Case 2,1440,21.591272,-21.591272,4,0.2,0.142979,1.429790e-04,2.217092
Case 2,1440,21.591272,-21.591272,5,0.3,0.214468,2.144685e-04,2.217092
Case 2,1440,21.591272,-21.591272,6,0.62,0.443235,4.432349e-04,26.552
Case 2,1440,21.591272,-21.591272,7,1.0,0.714895,7.148950e-04,33.19
Case 2,1440,21.591272,-21.591272,8,1.5,1.072342,1.072342e-03,33.19
Case 2,1440,21.591272,-21.591272,9,2.9,2.073195,2.073195e-03,33.19
Case 3,1520,24.22817,-24.22817,1,0.01,0.006298,6.297898e-06,0.202865
Case 3,1520,24.22817,-24.22817,2,0.05,0.031489,3.148949e-05,0.833307
Case 3,1520,24.22817,-24.22817,3,0.1,0.062979,6.297898e-05,1.036172
Case 3,1520,24.22817,-24.22817,4,0.2,0.125958,1.259580e-04,2.084828
Case 3,1520,24.22817,-24.22817,5,0.3,0.188937,1.889369e-04,2.084828
Case 3,1520,24.22817,-24.22817,6,0.62,0.39047,3.904697e-04,24.968
Case 3,1520,24.22817,-24.22817,7,1.0,0.62979,6.297898e-04,31.21
Case 3,1520,24.22817,-24.22817,8,1.5,0.944685,9.446847e-04,31.21
Case 3,1520,24.22817,-24.22817,9,2.9,1.82639,1.826390e-03,31.21
Case 4,1600,26.865069,-26.865069,1,0.01,0.005621,5.621362e-06,0.189995
Case 4,1600,26.865069,-26.865069,2,0.05,0.028107,2.810681e-05,0.780441
Case 4,1600,26.865069,-26.865069,3,0.1,0.056214,5.621362e-05,0.970436
Case 4,1600,26.865069,-26.865069,4,0.2,0.112427,1.124272e-04,1.952564
Case 4,1600,26.865069,-26.865069,5,0.3,0.168641,1.686409e-04,1.952564
Case 4,1600,26.865069,-26.865069,6,0.62,0.348524,3.485244e-04,23.384
Case 4,1600,26.865069,-26.865069,7,1.0,0.562136,5.621362e-04,29.23
Case 4,1600,26.865069,-26.865069,8,1.5,0.843204,8.432043e-04,29.23
Case 4,1600,26.865069,-26.865069,9,2.9,1.630195,1.630195e-03,29.23
Case 5,1680,29.501968,-29.501968,1,0.01,0.005071,5.071217e-06,0.177125
Case 5,1680,29.501968,-29.501968,2,0.05,0.025356,2.535609e-05,0.727575
Case 5,1680,29.501968,-29.501968,3,0.1,0.050712,5.071217e-05,0.9047
Case 5,1680,29.501968,-29.501968,4,0.2,0.101424,1.014243e-04,1.8203
Case 5,1680,29.501968,-29.501968,5,0.3,0.152137,1.521365e-04,1.8203
Case 5,1680,29.501968,-29.501968,6,0.62,0.314415,3.144155e-04,21.8
Case 5,1680,29.501968,-29.501968,7,1.0,0.507122,5.071217e-04,27.25
Case 5,1680,29.501968,-29.501968,8,1.5,0.760683,7.606826e-04,27.25
Case 5,1680,29.501968,-29.501968,9,2.9,1.470653,1.470653e-03,27.25
Case 6,1760,32.135537,-32.135537,1,0.01,0.004616,4.615983e-06,0.164271
Case 6,1760,32.135537,-32.135537,2,0.05,0.02308,2.307991e-05,0.674776
Case 6,1760,32.135537,-32.135537,3,0.1,0.04616,4.615983e-05,0.839047
Case 6,1760,32.135537,-32.135537,4,0.2,0.09232,9.231966e-05,1.688203
Case 6,1760,32.135537,-32.135537,5,0.3,0.138479,1.384795e-04,1.688203
Case 6,1760,32.135537,-32.135537,6,0.62,0.286191,2.861909e-04,20.218
Case 6,1760,32.135537,-32.135537,7,1.0,0.461598,4.615983e-04,25.2725
Case 6,1760,32.135537,-32.135537,8,1.5,0.692397,6.923974e-04,25.2725
Case 6,1760,32.135537,-32.135537,9,2.9,1.338635,1.338635e-03,25.2725
Case 7,1976,39.257161,-39.257161,1,0.01,0.003704,3.703715e-06,0.129513
Case 7,1976,39.257161,-39.257161,2,0.05,0.018519,1.851857e-05,0.531998
Case 7,1976,39.257161,-39.257161,3,0.1,0.037037,3.703715e-05,0.66151
Case 7,1976,39.257161,-39.257161,4,0.2,0.074074,7.407429e-05,1.33099
Case 7,1976,39.257161,-39.257161,5,0.3,0.111111,1.111114e-04,1.33099
Case 7,1976,39.257161,-39.257161,6,0.62,0.22963,2.296303e-04,15.94
Case 7,1976,39.257161,-39.257161,7,1.0,0.370371,3.703715e-04,19.925
Case 7,1976,39.257161,-39.257161,8,1.5,0.555557,5.555572e-04,19.925
Case 7,1976,39.257161,-39.257161,9,2.9,1.074077,1.074077e-03,19.925
Case 8,2214,47.101268,-47.101268,1,0.01,0.003031,3.031185e-06,0.091228
Case 8,2214,47.101268,-47.101268,2,0.05,0.015156,1.515592e-05,0.374735
Case 8,2214,47.101268,-47.101268,3,0.1,0.030312,3.031185e-05,0.465962
Case 8,2214,47.101268,-47.101268,4,0.2,0.060624,6.062370e-05,0.937538
Case 8,2214,47.101268,-47.101268,5,0.3,0.090936,9.093555e-05,0.937538
Case 8,2214,47.101268,-47.101268,6,0.62,0.187933,1.879335e-04,11.228
Case 8,2214,47.101268,-47.101268,7,1.0,0.303118,3.031185e-04,14.035
Case 8,2214,47.101268,-47.101268,8,1.5,0.454678,4.546777e-04,14.035
Case 8,2214,47.101268,-47.101268,9,2.9,0.879044,8.790436e-04,14.035
