branch,run_stamp,iteration,solver_state,load_percent,momentum_urf,total_inlet_kg_s,total_outlet_kg_s,liquid_inlet_kg_s,vapour_inlet_kg_s,liquid_to_brine_kg_s,liquid_to_steam_kg_s,vapour_to_brine_kg_s,vapour_to_steam_kg_s,mass_imbalance_signed_pct,mass_imbalance_abs_pct,liquid_closure_pct,vapour_closure_pct,liquid_inventory_total_kg,liquid_inventory_y030_kg,liquid_inventory_y010_kg,brine_entry_static_pressure_pa,brine_entry_total_pressure_pa,brine_entry_pressure_margin_pa,checkpoint_case,checkpoint_data,evidence_status
F01,legacy-supervised,5500,full-mixture,100,0.7,198.486282,385.263652,116.846777,81.639505,279.705534,25.491151,30.485683,49.581284,94.100896,94.100896,161.193926,-1.926197,901.398900,391.152034,376.568152,1120232.664,1153699.675,232.664,C:\Temp\03A-stage3-F01\F01-autosave-2.cas.h5,C:\Temp\03A-stage3-F01\F01-autosave-2-05500.dat.h5,VALID_PRE_FAILURE
F03,20260820T054645Z,5000,full-mixture,100,0.5,198.486282,866.164449,116.846777,81.639505,773.631445,15.816817,30.810024,45.906163,336.385044,336.385044,575.626905,-6.030559,2821.068548,749.339253,698.509590,1100584.832,1239731.837,-19415.168,C:\Temp\03A-stage3-F03\F03-100pct-final-5000-end-iter005000-supervised-20260820T054645Z.cas.h5,C:\Temp\03A-stage3-F03\F03-100pct-final-5000-end-iter005000-supervised-20260820T054645Z.dat.h5,VALID_COMPLETED_ENDPOINT
F05,20260820T013223Z,3000,full-mixture,100,0.3,198.486282,170.030407,116.846777,81.639505,81.389575,6.902073,35.323200,46.415559,-14.336444,14.336444,-24.438097,0.122342,317.751712,172.354358,166.299038,1121403.541,1130056.143,1403.541,C:\Users\syok443\Documents\FluentRuns\03A-stage3\F05\run-20260820T013223Z\03A-stage3-F05-full-mixture-100pct-end-20260820T013223Z.cas.h5,C:\Users\syok443\Documents\FluentRuns\03A-stage3\F05\run-20260820T013223Z\03A-stage3-F05-full-mixture-100pct-end-20260820T013223Z.dat.h5,VALID_COMPLETED_ENDPOINT
F06,20260820T013223Z,6000,full-mixture,100,0.3,198.486282,169.939714,116.846777,81.639505,83.420781,4.873351,37.182606,44.462976,-14.382137,14.382137,-24.435974,0.007423,376.626583,251.879588,245.693393,1121561.185,1130960.370,1561.185,C:\Users\syok443\Documents\FluentRuns\03A-stage3\F06\run-20260820T013223Z\03A-stage3-F06-full-mixture-100pct-end-20260820T013223Z.cas.h5,C:\Users\syok443\Documents\FluentRuns\03A-stage3\F06\run-20260820T013223Z\03A-stage3-F06-full-mixture-100pct-end-20260820T013223Z.dat.h5,VALID_COMPLETED_ENDPOINT
F07,20260820T002135Z,3150,full-mixture,10,0.7,19.848628,31.638598,11.684678,8.163951,23.366270,0.240751,1.166768,6.864809,59.399421,59.399421,102.033996,-1.621439,353.443253,206.086659,184.707124,1120029.153,1120076.631,29.153,C:\Temp\03A-stage3-F07\F07-10pct-resume-plus-2150-end-iter003150-20260820T002135Z.cas.h5,C:\Temp\03A-stage3-F07\F07-10pct-resume-plus-2150-end-iter003150-20260820T002135Z.dat.h5,CONFIRMED_STAGE
F07,20260820T002135Z,6150,full-mixture,20,0.7,39.697256,40.178483,23.369355,16.327901,22.476300,1.419722,6.143842,10.138618,1.212242,1.212242,2.253666,-0.278299,192.386313,146.448769,143.506950,1119946.087,1120468.977,-53.913,C:\Temp\03A-stage3-F07\F07-20pct-end-iter006150-20260820T002135Z.cas.h5,C:\Temp\03A-stage3-F07\F07-20pct-end-iter006150-20260820T002135Z.dat.h5,CONFIRMED_STAGE
F07,20260820T002135Z,9150,full-mixture,40,0.7,79.394513,96.110067,46.738711,32.655802,61.791603,1.770390,13.884437,18.663636,21.053790,21.053790,35.994323,-0.329892,324.161621,251.918384,247.418913,1120084.592,1122836.469,84.592,C:\Temp\03A-stage3-F07\F07-40pct-end-iter009150-20260820T002135Z.cas.h5,C:\Temp\03A-stage3-F07\F07-40pct-end-iter009150-20260820T002135Z.dat.h5,PAIR_PRESENT_STAGE_UNCONFIRMED
F08,20260820T044148Z;retry80=20260820T054146Z,12000,full-mixture,40,0.7,79.394513,108.832864,46.738711,32.655802,74.639230,1.779197,14.173581,18.240857,37.078571,37.078571,63.501357,-0.739116,323.419229,248.387512,243.778877,1119922.325,1121940.340,-77.675,C:\Users\syok443\Documents\FluentRuns\03A-stage3\F08\recovery-20260820T044148Z\F08-full-mixture-40pct-iter012000-20260820T044148Z.cas.h5,C:\Users\syok443\Documents\FluentRuns\03A-stage3\F08\recovery-20260820T044148Z\F08-full-mixture-40pct-iter012000-20260820T044148Z.dat.h5,VALID_PRE_FAILURE
F09,20260820T082047Z,3000,full-mixture,10,0.5,19.848628,370.158380,11.684678,8.163951,358.916406,0.611192,0.000000,10.630782,1764.906615,1764.906615,2976.914979,30.216152,3095.118490,2035.338948,1894.732836,1117749.654,1119827.699,-2250.346,C:\Temp\03A-stage3-F09\F09-10pct-end-iter003000-supervised-20260820T082047Z.cas.h5,C:\Temp\03A-stage3-F09\F09-10pct-end-iter003000-supervised-20260820T082047Z.dat.h5,VALID_COMPLETED_ENDPOINT
F09,20260820T082047Z,6000,full-mixture,20,0.5,39.697256,284.564850,23.369355,16.327901,232.942205,36.938841,5.922225,8.761580,616.837575,616.837575,1054.850190,-10.069242,2108.039448,1077.520047,1013.832494,1120137.417,1123219.849,137.417,C:\Temp\03A-stage3-F09\F09-20pct-end-iter006000-supervised-20260820T082047Z.cas.h5,C:\Temp\03A-stage3-F09\F09-20pct-end-iter006000-supervised-20260820T082047Z.dat.h5,VALID_COMPLETED_ENDPOINT
