case,enthalpy_kJkg,vt_ms,z_velocity_ms,inj,x_xmed,diameter_mm,diameter_m,mass_flow_kgs
Case 1,1600 -25%,25.666961,-25.666961,1,0.3,0.17732,1.773200e-04,4.3845
Case 1,1600 -25%,25.666961,-25.666961,2,0.5,0.295533,2.955333e-04,10.281355
Case 1,1600 -25%,25.666961,-25.666961,3,0.7,0.413747,4.137466e-04,11.791859
Case 1,1600 -25%,25.666961,-25.666961,4,0.9,0.53196,5.319599e-04,11.418588
Case 1,1600 -25%,25.666961,-25.666961,5,1.0,0.591067,5.910666e-04,5.643105
Case 1,1600 -25%,25.666961,-25.666961,6,1.3,0.768387,7.683865e-04,14.824725
Case 1,1600 -25%,25.666961,-25.666961,7,1.7,1.004813,1.004813e-03,13.394615
Case 1,1600 -25%,25.666961,-25.666961,8,2.3,1.359453,1.359453e-03,12.886849
Case 1,1600 -25%,25.666961,-25.666961,9,2.9,1.714093,1.714093e-03,3.064404
Case 2,1440,27.503345,-27.503345,1,0.3,0.164341,1.643408e-04,6.638
Case 2,1440,27.503345,-27.503345,2,0.5,0.273901,2.739014e-04,15.56566
Case 2,1440,27.503345,-27.503345,3,0.7,0.383462,3.834619e-04,17.852517
Case 2,1440,27.503345,-27.503345,4,0.9,0.493022,4.930225e-04,17.287396
Case 2,1440,27.503345,-27.503345,5,1.0,0.547803,5.478028e-04,8.54349
Case 2,1440,27.503345,-27.503345,6,1.3,0.712144,7.121436e-04,22.444184
Case 2,1440,27.503345,-27.503345,7,1.7,0.931265,9.312647e-04,20.279041
Case 2,1440,27.503345,-27.503345,8,2.3,1.259946,1.259946e-03,19.510298
Case 2,1440,27.503345,-27.503345,9,2.9,1.588628,1.588628e-03,4.639415
Case 3,1520,30.862273,-30.862273,1,0.3,0.144777,1.447768e-04,6.242
Case 3,1520,30.862273,-30.862273,2,0.5,0.241295,2.412946e-04,14.637067
Case 3,1520,30.862273,-30.862273,3,0.7,0.337812,3.378124e-04,16.787498
Case 3,1520,30.862273,-30.862273,4,0.9,0.43433,4.343303e-04,16.25609
Case 3,1520,30.862273,-30.862273,5,1.0,0.482589,4.825892e-04,8.033815
Case 3,1520,30.862273,-30.862273,6,1.3,0.627366,6.273660e-04,21.105242
Case 3,1520,30.862273,-30.862273,7,1.7,0.820402,8.204016e-04,19.069263
Case 3,1520,30.862273,-30.862273,8,2.3,1.109955,1.109955e-03,18.346382
Case 3,1520,30.862273,-30.862273,9,2.9,1.399509,1.399509e-03,4.362644
Case 4,1600,34.221202,-34.221202,1,0.3,0.129224,1.292245e-04,5.846
Case 4,1600,34.221202,-34.221202,2,0.5,0.215374,2.153741e-04,13.708474
Case 4,1600,34.221202,-34.221202,3,0.7,0.301524,3.015238e-04,15.722479
Case 4,1600,34.221202,-34.221202,4,0.9,0.387673,3.876734e-04,15.224784
Case 4,1600,34.221202,-34.221202,5,1.0,0.430748,4.307482e-04,7.52414
Case 4,1600,34.221202,-34.221202,6,1.3,0.559973,5.599727e-04,19.7663
Case 4,1600,34.221202,-34.221202,7,1.7,0.732272,7.322720e-04,17.859486
Case 4,1600,34.221202,-34.221202,8,2.3,0.990721,9.907210e-04,17.182465
Case 4,1600,34.221202,-34.221202,9,2.9,1.24917,1.249170e-03,4.085872
Case 5,1680,37.58013,-37.58013,1,0.3,0.116578,1.165777e-04,5.45
Case 5,1680,37.58013,-37.58013,2,0.5,0.194296,1.942962e-04,12.779881
Case 5,1680,37.58013,-37.58013,3,0.7,0.272015,2.720146e-04,14.65746
Case 5,1680,37.58013,-37.58013,4,0.9,0.349733,3.497331e-04,14.193478
Case 5,1680,37.58013,-37.58013,5,1.0,0.388592,3.885923e-04,7.014465
Case 5,1680,37.58013,-37.58013,6,1.3,0.50517,5.051700e-04,18.427358
Case 5,1680,37.58013,-37.58013,7,1.7,0.660607,6.606069e-04,16.649709
Case 5,1680,37.58013,-37.58013,8,2.3,0.893762,8.937623e-04,16.018548
Case 5,1680,37.58013,-37.58013,9,2.9,1.126918,1.126918e-03,3.809101
Case 6,1760,40.934817,-40.934817,1,0.3,0.106113,1.061127e-04,5.0545
Case 6,1760,40.934817,-40.934817,2,0.5,0.176855,1.768545e-04,11.85246
Case 6,1760,40.934817,-40.934817,3,0.7,0.247596,2.475963e-04,13.593785
Case 6,1760,40.934817,-40.934817,4,0.9,0.318338,3.183381e-04,13.163474
Case 6,1760,40.934817,-40.934817,5,1.0,0.353709,3.537090e-04,6.505434
Case 6,1760,40.934817,-40.934817,6,1.3,0.459822,4.598218e-04,17.090107
Case 6,1760,40.934817,-40.934817,7,1.7,0.601305,6.013054e-04,15.44146
Case 6,1760,40.934817,-40.934817,8,2.3,0.813531,8.135308e-04,14.856101
Case 6,1760,40.934817,-40.934817,9,2.9,1.025756,1.025756e-03,3.532679
Case 7,1976,50.0,-50.0,1,0.3,0.085154,8.515351e-05,3.985
Case 7,1976,50.0,-50.0,2,0.5,0.141923,1.419225e-04,9.344555
Case 7,1976,50.0,-50.0,3,0.7,0.198692,1.986915e-04,10.717427
Case 7,1976,50.0,-50.0,4,0.9,0.255461,2.554605e-04,10.378167
Case 7,1976,50.0,-50.0,5,1.0,0.283845,2.838450e-04,5.128925
Case 7,1976,50.0,-50.0,6,1.3,0.368999,3.689985e-04,13.473949
Case 7,1976,50.0,-50.0,7,1.7,0.482537,4.825366e-04,12.174145
Case 7,1976,50.0,-50.0,8,2.3,0.652844,6.528436e-04,11.712645
Case 7,1976,50.0,-50.0,9,2.9,0.823151,8.231506e-04,2.785187
Case 8,2214,60.0,-60.0,1,0.3,0.069679,6.967920e-05,2.807
Case 8,2214,60.0,-60.0,2,0.5,0.116132,1.161320e-04,6.582225
Case 8,2214,60.0,-60.0,3,0.7,0.162585,1.625848e-04,7.549264
Case 8,2214,60.0,-60.0,4,0.9,0.209038,2.090376e-04,7.310292
Case 8,2214,60.0,-60.0,5,1.0,0.232264,2.322640e-04,3.612771
Case 8,2214,60.0,-60.0,6,1.3,0.301943,3.019432e-04,9.490935
Case 8,2214,60.0,-60.0,7,1.7,0.394849,3.948488e-04,8.575364
Case 8,2214,60.0,-60.0,8,2.3,0.534207,5.342072e-04,8.250287
Case 8,2214,60.0,-60.0,9,2.9,0.673566,6.735656e-04,1.961862
