case,enthalpy_kJkg,vt_ms,z_velocity_ms,inj,x_xmed,diameter_mm,diameter_m,mass_flow_kgs
Case 1,1600 -25%,20.149634,-20.149634,1,0.3,0.231407,2.314066e-04,4.3845
Case 1,1600 -25%,20.149634,-20.149634,2,0.5,0.385678,3.856776e-04,10.281355
Case 1,1600 -25%,20.149634,-20.149634,3,0.7,0.539949,5.399486e-04,11.791859
Case 1,1600 -25%,20.149634,-20.149634,4,0.9,0.69422,6.942197e-04,11.418588
Case 1,1600 -25%,20.149634,-20.149634,5,1.0,0.771355,7.713552e-04,5.643105
Case 1,1600 -25%,20.149634,-20.149634,6,1.3,1.002762,1.002762e-03,14.824725
Case 1,1600 -25%,20.149634,-20.149634,7,1.7,1.311304,1.311304e-03,13.394615
Case 1,1600 -25%,20.149634,-20.149634,8,2.3,1.774117,1.774117e-03,12.886849
Case 1,1600 -25%,20.149634,-20.149634,9,2.9,2.23693,2.236930e-03,3.064404
Case 2,1440,21.591272,-21.591272,1,0.3,0.214468,2.144685e-04,6.638
Case 2,1440,21.591272,-21.591272,2,0.5,0.357447,3.574475e-04,15.56566
Case 2,1440,21.591272,-21.591272,3,0.7,0.500426,5.004265e-04,17.852517
Case 2,1440,21.591272,-21.591272,4,0.9,0.643405,6.434055e-04,17.287396
Case 2,1440,21.591272,-21.591272,5,1.0,0.714895,7.148950e-04,8.54349
Case 2,1440,21.591272,-21.591272,6,1.3,0.929363,9.293635e-04,22.444184
Case 2,1440,21.591272,-21.591272,7,1.7,1.215321,1.215321e-03,20.279041
Case 2,1440,21.591272,-21.591272,8,2.3,1.644258,1.644258e-03,19.510298
Case 2,1440,21.591272,-21.591272,9,2.9,2.073195,2.073195e-03,4.639415
Case 3,1520,24.22817,-24.22817,1,0.3,0.188937,1.889369e-04,6.242
Case 3,1520,24.22817,-24.22817,2,0.5,0.314895,3.148949e-04,14.637067
Case 3,1520,24.22817,-24.22817,3,0.7,0.440853,4.408529e-04,16.787498
Case 3,1520,24.22817,-24.22817,4,0.9,0.566811,5.668108e-04,16.25609
Case 3,1520,24.22817,-24.22817,5,1.0,0.62979,6.297898e-04,8.033815
Case 3,1520,24.22817,-24.22817,6,1.3,0.818727,8.187267e-04,21.105242
Case 3,1520,24.22817,-24.22817,7,1.7,1.070643,1.070643e-03,19.069263
Case 3,1520,24.22817,-24.22817,8,2.3,1.448517,1.448517e-03,18.346382
Case 3,1520,24.22817,-24.22817,9,2.9,1.82639,1.826390e-03,4.362644
Case 4,1600,26.865069,-26.865069,1,0.3,0.168641,1.686409e-04,5.846
Case 4,1600,26.865069,-26.865069,2,0.5,0.281068,2.810681e-04,13.708474
Case 4,1600,26.865069,-26.865069,3,0.7,0.393495,3.934953e-04,15.722479
Case 4,1600,26.865069,-26.865069,4,0.9,0.505923,5.059226e-04,15.224784
Case 4,1600,26.865069,-26.865069,5,1.0,0.562136,5.621362e-04,7.52414
Case 4,1600,26.865069,-26.865069,6,1.3,0.730777,7.307770e-04,19.7663
Case 4,1600,26.865069,-26.865069,7,1.7,0.955632,9.556315e-04,17.859486
Case 4,1600,26.865069,-26.865069,8,2.3,1.292913,1.292913e-03,17.182465
Case 4,1600,26.865069,-26.865069,9,2.9,1.630195,1.630195e-03,4.085872
